#rain.dat	rainfall													
@dataValueAttribs														
rain	0	9999	mm											
@dataSetAttribs														
missingDataVal	-9999													
dataStart	01.01.1979 07:30												
dataEnd	31.12.2000 07:30												
tres	d													
@statAttribVal														
name	stat1	stat2	stat3	stat4	stat5	stat6	stat7	stat8	stat9	stat10	stat11	stat12	stat13	stat14
ID	1574	1513	1445	1440	1502	1560	1431	1559	1517	1680	1613	1388	1339	1309
elevation	525	498	325	469	360	286	360	262	155	316	937	475	528	321
x	4402310	4422269	4423636	4414207	4408462	4416709	4434256	4440297	4470713	4427446	4412785	4402455	4409474	4406282
y	5620906	5616856	5629818	5628111	5635626	5637345	5633382	5648145	5644173	5650160	5613300	5628317	5626336	5644937
dataColumn	1	2	3	4	5	6	7	8	9	10	11	12	13	14
@dataVal														
01.01.1979	07:30	0.8	0.1	0.2	0.2	0.2	0	0.5	0	0	0	2.8	0	0	0.3
02.01.1979	07:30	0.3	0	0	0	0	0.1	0.1	0	0	0	0.2	0	1	0
03.01.1979	07:30	3.3	0.8	0.3	1	0.2	0	0.1	0.2	0.1	0.7	3.3	5	0.5	0.6
04.01.1979	07:30	0.1	0.2	0.1	0.8	0	0	0.1	0.2	0	0.1	1.7	1	0	0
05.01.1979	07:30	0	0.4	0	0	0	0	0	0.1	0	0	0	0	0	0
06.01.1979	07:30	0	0	0	0	0	0	0	0	0	0	0	0	0	0
07.01.1979	07:30	0	0	0	0	0	0	0	0.4	0	0.1	0	0	0	0.1
08.01.1979	07:30	0.5	0.1	1.8	6.5	0	0.4	2	3	3.7	5.4	0.5	0	0	0.3
09.01.1979	07:30	2.8	0.3	1.4	2.5	0.2	1.6	0.5	0.1	1.1	1.7	3.8	1	2.5	0.3
10.01.1979	07:30	5.8	3.2	1.1	0.2	1.2	1	0.5	0	1.2	0.2	7.6	2	1.4	0.7
11.01.1979	07:30	6.7	4.9	2.8	2.5	7	2	1	0.5	2.2	0.6	8.6	4	5.7	2
12.01.1979	07:30	12	1.9	3.2	4.8	4	3.1	2.8	1	3.5	0.8	21.1	5	5.3	4.6
13.01.1979	07:30	5	0.1	0.3	1	0.1	0	0	2	0.4	0.6	8.4	2	0.5	0.3
14.01.1979	07:30	2.6	0.2	0.4	1	0	0	1	0	0.1	0	0.8	0.5	0.8	0.1
15.01.1979	07:30	0.2	0.3	0.3	0.8	0	0	1	0.5	0	0.1	0.7	0	0	0.2
16.01.1979	07:30	1.7	1.1	2.3	0.6	4.8	2.3	1.5	3	2.4	2.5	2.2	0.5	1.8	1
17.01.1979	07:30	0.1	0	0	0	0	0	0	0	0	0.2	0	0	0	0.1
18.01.1979	07:30	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19.01.1979	07:30	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20.01.1979	07:30	0	0	0	0	0	0	0	0	0	0	0.1	0	0	0
21.01.1979	07:30	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22.01.1979	07:30	0.2	0	0.4	0	0	0	0.5	0	0	0	0.9	0.5	0	0.3
23.01.1979	07:30	3.2	3	0.5	3.5	3.5	2.5	1.5	4.8	3.1	5.7	2.7	4	2.3	2.5
24.01.1979	07:30	2.1	0.8	1.9	2.6	0.8	1.2	1	0.8	1.2	0.9	2.4	1	0	0.7
25.01.1979	07:30	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0
26.01.1979	07:30	0	0	0	0	0	0	0	0	0	0	0	0	0	0
27.01.1979	07:30	3.4	5	5.9	7	5.2	3	3	2.9	2.4	3.1	5.1	4	4.8	4.5
28.01.1979	07:30	0.3	3.2	0	0	0	0.9	0	0.1	1.4	0.1	0.6	1	0.7	1
29.01.1979	07:30	0.2	0	0.2	0.3	0	0	0.4	0	0	0	0	0	0	0
30.01.1979	07:30	2.7	0.1	0.1	0.2	0.2	2	0.1	1	0.2	1.7	4.4	1	2.2	1.3
31.01.1979	07:30	2.1	2	0.9	2	0.2	0	1	0.9	1.2	1	4.2	0.5	1.7	0.6
01.02.1979	07:30	5.8	5.8	2.8	6.5	5	2.3	2	0.1	4	0	9.6	5	5.7	5.8
