#rhum.dat relative Humidity				
@dataValueAttribs				
rhum	0	100	%	
@dataSetAttribs				
missingDataVal	-9999			
dataStart	01.01.1979 07:30			
dataEnd	31.12.2000 07:30			
tres	d			
@statAttribVal				
name	Artern	Erfurt	Schmücke	
ID	198	1270	4501	
elevation	164	316	937	
x	4451274	4427446	4412785	
y	5694380	5650160	5613300	
dataColumn	1	2	3	
@dataVal		
01.01.1979	07:30	80	79	87
02.01.1979	07:30	85	79	88
03.01.1979	07:30	87	83	89
04.01.1979	07:30	95	82	92
05.01.1979	07:30	89	82	89
06.01.1979	07:30	93	83	83
07.01.1979	07:30	80	73	89
08.01.1979	07:30	75	61	88
09.01.1979	07:30	95	85	97
10.01.1979	07:30	80	74	98
11.01.1979	07:30	83	75	98
12.01.1979	07:30	93	82	99
13.01.1979	07:30	88	82	96
14.01.1979	07:30	86	80	94
15.01.1979	07:30	86	76	96
16.01.1979	07:30	91	82	97
17.01.1979	07:30	98	91	97
18.01.1979	07:30	96	87	93
19.01.1979	07:30	92	85	91
20.01.1979	07:30	96	89	90
21.01.1979	07:30	95	92	98
22.01.1979	07:30	92	87	97
23.01.1979	07:30	97	89	98
24.01.1979	07:30	82	76	98
25.01.1979	07:30	81	74	97
26.01.1979	07:30	88	66	96
27.01.1979	07:30	90	73	98
28.01.1979	07:30	92	96	99
29.01.1979	07:30	92	83	99
30.01.1979	07:30	90	79	98
31.01.1979	07:30	86	81	98
01.02.1979	07:30	78	69	98
02.02.1979	07:30	90	82	98
03.02.1979	07:30	83	71	93
04.02.1979	07:30	87	72	97
05.02.1979	07:30	92	83	98
06.02.1979	07:30	89	74	94
07.02.1979	07:30	95	77	93
08.02.1979	07:30	81	70	96
09.02.1979	07:30	87	75	87
10.02.1979	07:30	95	92	83
11.02.1979	07:30	80	73	74
12.02.1979	07:30	92	89	97
13.02.1979	07:30	98	96	99
14.02.1979	07:30	95	95	100
15.02.1979	07:30	95	82	97
16.02.1979	07:30	92	82	97
17.02.1979	07:30	92	83	95
18.02.1979	07:30	95	86	99
19.02.1979	07:30	96	89	98
20.02.1979	07:30	93	90	96
