# rain.dat rainfall uncorrected							
@dataValueAttribs							
rain	0	9999	mm				
@dataSetAttribs							
missingDataVal	-99						
dataStart	01.01.1970	07:30:00					
dataEnd	31.12.2000	07:30:00					
tres	d						
@statAttribVal							
name		TANNA	OETTERSDORF	PAHREN	STAITZ (TAL	GOEHREN-DOE	GOESCHITZ
ID		43051	43060	43350	43353	43354	43355
elevation		548	470	395	350	300	410
x		4490564.877	4487045.272	4492928.415	4500000	4501200.459	4490591.399
y		5595898.61	5607028.845	5612579.052	5620026.659	5620026.797	5610691.834
dataColumn		1	2	3	4	5	6
@dataVal							
01.01.1970	07:30:00	0	1.591393636	1.168946893	1.591393636	1.591393636	0
02.01.1970	07:30:00	1.870050822	1.10297199	1.10297199	1.10297199	1.10297199	2.348051671
03.01.1970	07:30:00	1.412593455	1.870050822	1.68322544	1.870050822	1.870050822	2.155499678
04.01.1970	07:30:00	8.888448709	4.113822307	4.608919348	4.113822307	4.113822307	5.999280898
05.01.1970	07:30:00	7.991024353	10.88418252	5.800393449	10.88418252	10.88418252	9.387219641
06.01.1970	07:30:00	0	0	0	0	0	0
07.01.1970	07:30:00	1.68322544	1.056733275	1.168946893	1.056733275	1.056733275	0
08.01.1970	07:30:00	0	0	0	0	0	0
09.01.1970	07:30:00	1.68322544	1.168946893	0	1.168946893	1.168946893	0
10.01.1970	07:30:00	0	1.244928994	0	1.244928994	1.063958636	0
11.01.1970	07:30:00	0	0	0	0	0	0
12.01.1970	07:30:00	0	0	0	0	0	0
13.01.1970	07:30:00	0	0	0	0	0	0
14.01.1970	07:30:00	0	0	0	0	0	0
15.01.1970	07:30:00	2.541839741	1.056733275	1.10297199	1.056733275	1.056733275	0
16.01.1970	07:30:00	4.014939888	3.619992315	1.96463771	3.619992315	3.619992315	4.608919348
17.01.1970	07:30:00	0	0	0	0	0	0
18.01.1970	07:30:00	0	0	0	0	0	0
19.01.1970	07:30:00	0	0	0	0	0	0
20.01.1970	07:30:00	0	0	0	0	0	0
21.01.1970	07:30:00	0	0	0	0	0	0
22.01.1970	07:30:00	1.168946893	0	1.063958636	0	0	0
23.01.1970	07:30:00	0	1.056733275	1.063958636	1.056733275	1.056733275	0
24.01.1970	07:30:00	1.056733275	1.501023194	0	1.501023194	1.501023194	0
25.01.1970	07:30:00	0	0	0	0	0	0
26.01.1970	07:30:00	0.983371967	2.262816675	1.665007307	2.262816675	2.262816675	0
27.01.1970	07:30:00	6.075036824	7.680651901	10.48921043	7.680651901	7.680651901	13.69738119
28.01.1970	07:30:00	0	0.617582193	0.617582193	0.617582193	0.617582193	1.07807131
29.01.1970	07:30:00	0	1.501023194	2.059820502	1.501023194	1.501023194	0
30.01.1970	07:30:00	0	0	0	0	0	0
31.01.1970	07:30:00	1.776189352	1.168946893	1.244928994	1.168946893	1.168946893	0
01.02.1970	07:30:00	0	0	0	0	0	0
02.02.1970	07:30:00	8.78871037	12.08228178	7.791672118	12.08228178	12.1821401	8.090711693
03.02.1970	07:30:00	1.174161619	0.717480261	0.801360808	0.717480261	0.801360808	0
04.02.1970	07:30:00	0	0.617582193	0.801360808	0.617582193	0.617582193	0.593699457
05.02.1970	07:30:00	0	1.36899972	1.07807131	1.36899972	1.467298455	3.465314609
06.02.1970	07:30:00	3.619992315	1.501023194	1.501023194	1.501023194	1.501023194	0
07.02.1970	07:30:00	4.708055705	1.10297199	1.244928994	1.10297199	1.10297199	0
08.02.1970	07:30:00	5.071278749	1.963316409	1.963316409	1.963316409	1.863710238	3.06406916
09.02.1970	07:30:00	4.268218851	2.863551465	1.764261312	2.863551465	2.963799086	1.665007307
10.02.1970	07:30:00	5.773925864	4.870513031	5.773925864	4.870513031	4.870513031	9.18542527
11.02.1970	07:30:00	2.73656317	2.932014015	1.326834926	2.932014015	2.834208074	1.412593455
12.02.1970	07:30:00	10.58472352	3.029963993	5.104916407	3.029963993	3.1280434	5.999280898
13.02.1970	07:30:00	4.014939888	3.226239608	2.639099223	3.226239608	3.226239608	2.541839741
14.02.1970	07:30:00	0	0	1.063958636	0	0	1.168946893
15.02.1970	07:30:00	1.056733275	1.056733275	1.063958636	1.056733275	1.056733275	0
16.02.1970	07:30:00	0	1.056733275	1.063958636	1.056733275	1.10297199	0
17.02.1970	07:30:00	1.68322544	1.244928994	1.168946893	1.244928994	1.244928994	0
18.02.1970	07:30:00	2.348051671	2.251597368	1.501023194	2.251597368	2.444812697	2.251597368
19.02.1970	07:30:00	2.059820502	0	1.244928994	0	0	1.244928994
20.02.1970	07:30:00	2.262816675	3.967093553	2.863551465	3.967093553	3.866725628	1.174161619
21.02.1970	07:30:00	10.79004187	8.081970187	9.68691745	8.081970187	8.182294484	12.19373377
22.02.1970	07:30:00	15.3009701	16.10266184	14.79987922	16.10266184	16.00245385	15.90224489
23.02.1970	07:30:00	2.162890142	13.69738119	7.078610204	13.69738119	13.79761414	7.780984659
24.02.1970	07:30:00	2.262816675	4.368598845	3.465314609	4.368598845	4.46898035	3.164358374
25.02.1970	07:30:00	0	0.890741403	0.593699457	0.890741403	0.801360808	0
26.02.1970	07:30:00	4.113822307	2.73656317	2.932014015	2.73656317	2.834208074	0
27.02.1970	07:30:00	6.496777219	5.104916407	3.324541636	5.104916407	5.204201602	2.932014015
28.02.1970	07:30:00	2.639099223	1.96463771	2.444812697	1.96463771	2.059820502	4.509818588
01.03.1970	07:30:00	3.916111216	3.718632466	3.1280434	3.718632466	3.817340512	6.496777219
02.03.1970	07:30:00	5.899828478	4.212754671	6.895016789	4.212754671	4.212754671	6.795438925
03.03.1970	07:30:00	0	1.056733275	0	1.056733275	1.056733275	0
04.03.1970	07:30:00	8.78871037	6.795438925	1.056733275	6.795438925	6.99460583	0
05.03.1970	07:30:00	14.77913682	16.37778059	11.78272118	16.37778059	16.67755755	7.193815703
06.03.1970	07:30:00	1.10297199	1.412593455	1.063958636	1.412593455	1.412593455	7.592351631
07.03.1970	07:30:00	0	0	0	0	0	0
08.03.1970	07:30:00	1.168946893	0	0	0	0	0
09.03.1970	07:30:00	0	0	0	0	0	0
10.03.1970	07:30:00	0	0	0	0	0	0
11.03.1970	07:30:00	0	0	0	0	0	0
12.03.1970	07:30:00	0	0	0	0	0	0
13.03.1970	07:30:00	0	0	0	0	0	0
14.03.1970	07:30:00	0	0	0	0	0	0
15.03.1970	07:30:00	1.326834926	1.244928994	1.10297199	1.244928994	1.244928994	0
16.03.1970	07:30:00	1.501023194	1.056733275	1.056733275	1.056733275	1.10297199	0
17.03.1970	07:30:00	1.467298455	1.764261312	1.863710238	1.764261312	1.665007307	3.66600572
18.03.1970	07:30:00	1.174161619	4.268218851	0.593699457	4.268218851	4.368598845	4.268218851
19.03.1970	07:30:00	1.07807131	0.983371967	4.067465566	0.983371967	0.983371967	0
20.03.1970	07:30:00	1.07807131	2.863551465	3.264663907	2.863551465	2.963799086	4.067465566
21.03.1970	07:30:00	1.963316409	0.643966595	1.764261312	0.643966595	0.643966595	1.174161619
22.03.1970	07:30:00	0	0	0	0	0	0.617582193
23.03.1970	07:30:00	0	0	0	0	0	0.643966595
24.03.1970	07:30:00	0	0.617582193	0.617582193	0.617582193	0.617582193	0.643966595
25.03.1970	07:30:00	0	0.717480261	0.717480261	0.717480261	0.717480261	0
26.03.1970	07:30:00	0	0	0	0	0	0
27.03.1970	07:30:00	2.262816675	1.07807131	0.593699457	1.07807131	1.174161619	1.764261312
28.03.1970	07:30:00	4.608919348	5.005657602	1.326834926	5.005657602	5.104916407	5.005657602
29.03.1970	07:30:00	1.776189352	1.776189352	6.397249031	1.776189352	1.870050822	0
30.03.1970	07:30:00	1.174161619	0.617582193	0	0.617582193	0.617582193	0
31.03.1970	07:30:00	12.19373377	8.784196996	10.08807805	8.784196996	8.884507012	12.09347978
01.04.1970	07:30:00	1.764261312	1.665007307	1.36899972	1.665007307	1.665007307	1.665007307
02.04.1970	07:30:00	0.717480261	0.593699457	0.617582193	0.593699457	0.643966595	0.890741403
03.04.1970	07:30:00	4.113822307	1.501023194	2.639099223	1.501023194	1.412593455	4.41075579
04.04.1970	07:30:00	1.96463771	2.73656317	2.348051671	2.73656317	2.834208074	0
05.04.1970	07:30:00	1.36899972	0.593699457	0	0.593699457	0.593699457	2.162890142
06.04.1970	07:30:00	5.974668342	0.717480261	0.983371967	0.717480261	0.717480261	1.271227227
07.04.1970	07:30:00	0.593699457	0	0.643966595	0	0	0.717480261
08.04.1970	07:30:00	3.364983343	0.983371967	0	0.983371967	1.07807131	2.262816675
09.04.1970	07:30:00	12.19373377	14.59943529	12.99571579	14.59943529	14.79987922	1.271227227
10.04.1970	07:30:00	0.643966595	0	0	0	0	10.99058793
11.04.1970	07:30:00	0	0	0	0	0	0
12.04.1970	07:30:00	3.364983343	0.890741403	0.593699457	0.890741403	0.801360808	0
13.04.1970	07:30:00	7.881315286	9.88750135	10.08807805	9.88750135	10.08807805	11.09085854
14.04.1970	07:30:00	0	0	0	0	0	0.643966595
15.04.1970	07:30:00	0	0	0	0	0	0.593699457
16.04.1970	07:30:00	7.580317002	6.476491133	4.770129582	6.476491133	6.376130583	5.573176532
17.04.1970	07:30:00	1.271227227	0.593699457	0.717480261	0.593699457	0.593699457	0
18.04.1970	07:30:00	1.665007307	2.063050667	3.766362679	2.063050667	2.063050667	5.272041395
19.04.1970	07:30:00	20.71130991	18.50738258	18.90812289	18.50738258	18.80793897	16.90429168
20.04.1970	07:30:00	3.364983343	4.067465566	2.963799086	4.067465566	3.967093553	0
21.04.1970	07:30:00	0	0	0	0	0	0
22.04.1970	07:30:00	0	0	0	0	0	0
23.04.1970	07:30:00	0	2.162890142	1.963316409	2.162890142	2.063050667	0
24.04.1970	07:30:00	0	5.071278749	0	5.071278749	4.970896169	3.565655917
25.04.1970	07:30:00	2.262816675	1.56599767	1.467298455	1.56599767	1.56599767	1.764261312
26.04.1970	07:30:00	3.465314609	1.07807131	1.271227227	1.07807131	1.07807131	1.174161619
27.04.1970	07:30:00	2.863551465	1.467298455	5.071278749	1.467298455	1.56599767	7.078610204
28.04.1970	07:30:00	0	0	0	0	0	0
29.04.1970	07:30:00	7.680651901	2.963799086	1.56599767	2.963799086	2.963799086	3.264663907
30.04.1970	07:30:00	5.874298	4.167840892	2.462875389	4.167840892	4.067465566	7.881315286
01.05.1970	07:30:00	7.43289719	5.516651353	6.62649172	5.516651353	5.516651353	8.037354819
02.05.1970	07:30:00	1.171551584	0	0.978039534	0	0	1.073877368
03.05.1970	07:30:00	0.692979055	1.270398748	6.525649819	1.270398748	1.171551584	0.667815292
04.05.1970	07:30:00	0	0	0	0	0	0
05.05.1970	07:30:00	0	0	0	0	0	0.797750995
06.05.1970	07:30:00	0	0	0	0	0	0
07.05.1970	07:30:00	0	0	0	0	0	0
08.05.1970	07:30:00	0	0	0	0	0	0
09.05.1970	07:30:00	0	0	0	0	0	0
10.05.1970	07:30:00	5.415688102	6.62649172	4.000745214	6.62649172	6.62649172	4.910676993
11.05.1970	07:30:00	5.112721579	4.506416436	5.920383891	4.506416436	5.314712248	5.011706175
12.05.1970	07:30:00	14.17167937	10.050492	11.76004016	10.050492	10.25168311	13.66940383
13.05.1970	07:30:00	0.797750995	0.692979055	0.978039534	0.692979055	0.692979055	1.171551584
14.05.1970	07:30:00	0	0	0	0	0	0
15.05.1970	07:30:00	1.67148603	3.494663197	1.470178465	3.494663197	7.533659481	5.415688102
16.05.1970	07:30:00	2.076013625	7.533659481	5.516651353	7.533659481	6.525649819	4.101911613
17.05.1970	07:30:00	0	0	0	0	0	0
18.05.1970	07:30:00	0	0	0	0	0	0
19.05.1970	07:30:00	5.617602284	4.506416436	5.415688102	4.506416436	3.595913155	6.424798079
20.05.1970	07:30:00	2.5827505	2.886831572	4.910676993	2.886831572	4.101911613	2.380015014
21.05.1970	07:30:00	0	1.873556461	0.720722958	1.873556461	1.67148603	1.67148603
22.05.1970	07:30:00	1.67148603	1.974751907	1.171551584	1.974751907	4.405313841	2.684117799
23.05.1970	07:30:00	0	3.697146341	0.88522541	3.697146341	0.667815292	1.67148603
24.05.1970	07:30:00	0	0	0	0	0	0
25.05.1970	07:30:00	0.720722958	2.076013625	2.785479159	2.076013625	2.076013625	2.785479159
26.05.1970	07:30:00	12.76511886	5.718541172	8.641553166	5.718541172	5.314712248	12.06160155
27.05.1970	07:30:00	8.037354819	9.849280888	5.920383891	9.849280888	10.25168311	7.02976513
28.05.1970	07:30:00	2.481381192	0.797750995	0.88522541	0.797750995	0.797750995	0.797750995
29.05.1970	07:30:00	5.819468286	1.370023563	1.270398748	1.370023563	1.470178465	1.171551584
30.05.1970	07:30:00	5.213723505	2.177321018	9.446795882	2.177321018	2.177321018	14.27212604
31.05.1970	07:30:00	3.899562299	4.000745214	4.000745214	4.000745214	4.000745214	3.393396622
01.06.1970	07:30:00	2.886831572	1.073877368	1.67148603	1.073877368	1.171551584	1.873556461
02.06.1970	07:30:00	0	0	0	0	0	0
03.06.1970	07:30:00	1.873556461	0	0	0	0	0
04.06.1970	07:30:00	0	2.278658685	0.88522541	2.278658685	1.67148603	1.370023563
05.06.1970	07:30:00	0	2.177321018	1.974751907	2.177321018	2.177321018	1.370023563
06.06.1970	07:30:00	0	0	0	0	0	0
07.06.1970	07:30:00	0	0	0	0	0	0
08.06.1970	07:30:00	0	0	0	0	0	0
09.06.1970	07:30:00	2.177321018	0.978039534	0.692979055	0.978039534	0	0
10.06.1970	07:30:00	1.974751907	0.720722958	2.380015014	0.720722958	0.978039534	9.144874259
11.06.1970	07:30:00	2.481381192	6.727323998	1.67148603	6.727323998	6.928960503	0
12.06.1970	07:30:00	0	0	0	0	0	0
13.06.1970	07:30:00	0	0	0	0	0	0
14.06.1970	07:30:00	0	0	0	0	0	0
15.06.1970	07:30:00	0	0	0	0	0	0
16.06.1970	07:30:00	1.67148603	4.304195684	8.238781584	4.304195684	5.011706175	6.828146858
17.06.1970	07:30:00	0	0	7.130560929	0	0	0
18.06.1970	07:30:00	0	0	0	0	0	0
19.06.1970	07:30:00	0	0	0	0	0	0
20.06.1970	07:30:00	0	0	0	0	0	0
21.06.1970	07:30:00	0	0	0	0	0	0
22.06.1970	07:30:00	0	2.076013625	1.974751907	2.076013625	0.978039534	1.772455131
23.06.1970	07:30:00	4.708576084	2.380015014	7.332126781	2.380015014	1.67148603	11.55898019
24.06.1970	07:30:00	0	0.88522541	3.190814944	0.88522541	0.797750995	2.785479159
25.06.1970	07:30:00	0.720722958	0	0	0	0	0
26.06.1970	07:30:00	0	0	0	0	0	0
27.06.1970	07:30:00	0	0	0	0	0	0
28.06.1970	07:30:00	11.45844432	12.46363231	11.65951212	12.46363231	9.849280888	18.99052388
29.06.1970	07:30:00	7.835899286	5.011706175	5.617602284	5.011706175	5.617602284	5.314712248
30.06.1970	07:30:00	0	0	0	0	0	0
01.07.1970	07:30:00	0.720722958	5.415688102	1.67148603	5.415688102	4.607503752	0
02.07.1970	07:30:00	1.370023563	0.692979055	0.692979055	0.692979055	0	2.278658685
03.07.1970	07:30:00	1.974751907	2.684117799	1.873556461	2.684117799	2.177321018	3.393396622
04.07.1970	07:30:00	3.899562299	0.88522541	1.67148603	0.88522541	0.797750995	2.278658685
05.07.1970	07:30:00	1.873556461	0.720722958	0.692979055	0.720722958	1.171551584	1.270398748
06.07.1970	07:30:00	0.720722958	0	0	0	5.213723505	0
07.07.1970	07:30:00	0	0	0	0	0	0
08.07.1970	07:30:00	0	0.797750995	0	0.797750995	0	0
09.07.1970	07:30:00	2.076013625	0.720722958	1.67148603	0.720722958	0	1.470178465
10.07.1970	07:30:00	0	0	0	0	0	0
11.07.1970	07:30:00	0	0.88522541	0	0.88522541	10.25168311	2.481381192
12.07.1970	07:30:00	0	0	0	0	0	0
13.07.1970	07:30:00	0	0	0	0	0	0
14.07.1970	07:30:00	5.920383891	4.607503752	5.112721579	4.607503752	4.607503752	3.899562299
15.07.1970	07:30:00	1.171551584	2.278658685	0.692979055	2.278658685	1.570702139	2.278658685
16.07.1970	07:30:00	6.727323998	3.494663197	4.405313841	3.494663197	3.595913155	4.506416436
17.07.1970	07:30:00	5.213723505	0.667815292	0.797750995	0.667815292	0.978039534	1.873556461
18.07.1970	07:30:00	0	0	0	0	0	0
19.07.1970	07:30:00	4.203061693	2.076013625	2.5827505	2.076013625	1.570702139	3.899562299
20.07.1970	07:30:00	3.79836271	1.67148603	1.470178465	1.67148603	1.073877368	1.772455131
21.07.1970	07:30:00	6.727323998	9.044222165	9.648049089	9.044222165	12.56413123	9.144874259
22.07.1970	07:30:00	0	0	0	0	0	0
23.07.1970	07:30:00	0	0	0	0	0	0
24.07.1970	07:30:00	4.506416436	10.050492	4.607503752	10.050492	9.144874259	4.910676993
25.07.1970	07:30:00	8.641553166	1.073877368	2.5827505	1.073877368	1.270398748	4.304195684
26.07.1970	07:30:00	8.037354819	3.089500974	3.089500974	3.089500974	3.089500974	5.920383891
27.07.1970	07:30:00	0.88522541	1.67148603	2.380015014	1.67148603	1.772455131	0
28.07.1970	07:30:00	2.481381192	5.819468286	1.370023563	5.819468286	4.304195684	0
29.07.1970	07:30:00	6.223064198	3.292113718	2.481381192	3.292113718	3.089500974	6.223064198
30.07.1970	07:30:00	0	0	0	0	0	0
31.07.1970	07:30:00	11.65951212	8.037354819	4.910676993	8.037354819	8.037354819	7.02976513
01.08.1970	07:30:00	1.370023563	3.393396622	1.570702139	3.393396622	3.393396622	1.772455131
02.08.1970	07:30:00	8.238781584	0.692979055	28.31722231	0.692979055	0.692979055	17.48513991
03.08.1970	07:30:00	1.570702139	5.718541172	3.595913155	5.718541172	5.718541172	2.785479159
04.08.1970	07:30:00	0	0	0	0	0	0
05.08.1970	07:30:00	0.88522541	0	3.595913155	0	0	0
06.08.1970	07:30:00	0	0	0	0	0	0
07.08.1970	07:30:00	17.08363464	6.525649819	10.85514283	6.525649819	4.203061693	18.89017701
08.08.1970	07:30:00	2.380015014	1.370023563	18.6894783	1.370023563	3.393396622	17.38476649
09.08.1970	07:30:00	5.516651353	2.278658685	3.393396622	2.278658685	1.873556461	3.393396622
