# rain.dat rainfall uncorrected																	
@dataValueAttribs																	
rain	0	9999.0	mm														
@dataSetAttribs																	
missingDataVal	-99																
dataStart	01.01.1970	7:30															
dataEnd	31.05.1999	7:30															
tres	d																
@statAttribVal																	
name	TANNA	MUEHLTROFF	OETTERSDORF	MEHLTHEUER	STELZEN	TOBERTITZ	PAHREN	ZEULENRODA(Stadt)	ZEULENRODA(Tal)	STAITZ (TAL	GOEHREN-DOE	GOESCHITZ	MIESITZ	SCHLEIZ	GREIZ-DOELA	PLAUEN (MNS	PAUSA-UNTER
ID	43051	43054	43060	43333	43334	43335	43350	43351	43352	43353	43354	43355	4218	4234	4420	4420	4232
elevation	548	490.0	470.0	496.0	584.0	470.0	395.0	462.0	360.0	350	300	410	340	501	270	386	442
x	4490565	4495252.0	4487045.3	4502338.6	4497658.1	4500000.0	4492928.4	4498797.8	4498798.3	4500000	4501200.459	4490591.399	4488211.276	4485831.93	4512945.667	4509438.51	4500000
y	5595899	5601453.6	5607028.8	5601452.0	5593999.8	5593999.3	5612579.1	5612574.4	5614465.3	5620026.659	5620026.797	5610691.834	5621819.645	5603361.446	5610699.374	5594007.771	5607012.859
dataColumn	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17
@dataVal																	
	Uhrzeit	Tanna	MUEHLTROFF	OETTERSDORF	MEHLTHEUER	STELZEN	TOBERTITZ	PAHREN	ZEULENRODA(Stadt)	ZEULENRODA(Tal)	STAITZ (TAL	GOEHREN-DOE	GOESCHITZ	MIESITZ	SCHLEIZ	GREIZ-DOELA	PLAUEN (MNS	PAUSA-UNTER
01.01.1970	7:30	0.0	-99	0.9	0.8	-99.0	1.8	0.4	0.7	-99.0	0.9	0.9	0.0	-99.0	-99.0	-99.0	0.5	-99.0
02.01.1970	7:30	1.2	-99	0.3	0.0	-99.0	1.6	0.3	0.0	-99.0	0.3	0.3	1.7	-99.0	-99.0	-99.0	0.0	-99.0
03.01.1970	7:30	0.7	-99	1.2	1.0	-99.0	1.0	1.0	1.8	-99.0	1.2	1.2	1.5	-99.0	-99.0	-99.0	0.3	-99.0
04.01.1970	7:30	8.3	-99	3.5	8.4	-99.0	8.7	4.0	6.1	-99.0	3.5	3.5	5.4	-99.0	-99.0	-99.0	4.2	-99.0
05.01.1970	7:30	7.4	-99	10.3	7.2	-99.0	7.5	5.2	8.3	-99.0	10.3	10.3	8.8	-99.0	-99.0	-99.0	10.5	-99.0
06.01.1970	7:30	0.0	-99	0.0	0.0	-99.0	0.2	0.0	0.0	-99.0	0.0	0.0	0.0	-99.0	-99.0	-99.0	0.0	-99.0
07.01.1970	7:30	1.0	-99	0.2	0.0	-99.0	1.2	0.4	0.6	-99.0	0.2	0.2	0.0	-99.0	-99.0	-99.0	0.3	-99.0
08.01.1970	7:30	0.0	-99	0.0	0.0	-99.0	0.0	0.0	0.0	-99.0	0.0	0.0	0.0	-99.0	-99.0	-99.0	0.0	-99.0
09.01.1970	7:30	1.0	-99	0.4	0.0	-99.0	0.3	0.0	0.3	-99.0	0.4	0.4	0.0	-99.0	-99.0	-99.0	0.0	-99.0
10.01.1970	7:30	0.0	-99	0.5	0.0	-99.0	0.0	0.0	0.0	-99.0	0.5	0.1	0.0	-99.0	-99.0	-99.0	0.0	-99.0
11.01.1970	7:30	0.0	-99	0.0	0.0	-99.0	0.0	0.0	0.0	-99.0	0.0	0.0	0.0	-99.0	-99.0	-99.0	0.0	-99.0
12.01.1970	7:30	0.0	-99	0.0	0.0	-99.0	0.0	0.0	0.0	-99.0	0.0	0.0	0.0	-99.0	-99.0	-99.0	0.0	-99.0
13.01.1970	7:30	0.0	-99	0.0	0.0	-99.0	0.0	0.0	0.0	-99.0	0.0	0.0	0.0	-99.0	-99.0	-99.0	0.0	-99.0
14.01.1970	7:30	0.0	-99	0.0	0.0	-99.0	0.0	0.0	0.0	-99.0	0.0	0.0	0.0	-99.0	-99.0	-99.0	0.0	-99.0
