#ahum.dat absolute Humidity				
@dataValueAttribs				
rhum	0	100.00	%
@dataSetAttribs				
missingDataVal	-9999			
dataStart	01.02.1993 07:30			
dataEnd	31.12.1999 07:30			
tres	d			
@statAttribVal				
name	Pietersburg	Mara	Warmbad 	
ID	0677502BX	07220991	05895941	
elevation	1226.00	897.00	1143.00	
x	138407.24429	148732.01844	28031.37226	
y	7355629.19	7435738.17	7238014.66	
dataColumn	1	2	3	
@dataVal				
01.02.1993	07:30	12.62817931	15.54783026	12.31533991
02.02.1993	07:30	11.75692895	15.21961399	12.05536184
03.02.1993	07:30	10.6919043	12.77326153	10.11762123
04.02.1993	07:30	12.14161084	17.22115127	13.6407671
05.02.1993	07:30	13.30585998	17.1644089	13.59582182
06.02.1993	07:30	10.52297274	15.90129682	12.59531858
07.02.1993	07:30	9.977174232	14.71394959	11.6548282
08.02.1993	07:30	11.41708154	14.03703442	11.1186479
09.02.1993	07:30	9.782642076	14.32036997	11.34307623
10.02.1993	07:30	9.571247428	14.86343213	11.77323239
11.02.1993	07:30	9.84627659	14.33021483	11.35087428
12.02.1993	07:30	10.40370492	15.46950325	12.25329757
13.02.1993	07:30	9.878200939	13.33544178	10.56292071
14.02.1993	07:30	12.88386404	16.19595237	12.82871341
15.02.1993	07:30	14.11072798	14.44296892	11.44018609
16.02.1993	07:30	14.36982345	18.51656341	14.66685502
17.02.1993	07:30	12.65305984	15.35643537	12.1637372
18.02.1993	07:30	11.45151389	14.52546911	11.50553398
19.02.1993	07:30	11.16550287	15.99799092	12.67190938
20.02.1993	07:30	10.32790996	14.7301278	11.66764286
21.02.1993	07:30	12.24313163	15.75424458	12.47883941
22.02.1993	07:30	12.22502279	16.08299755	12.7392426
23.02.1993	07:30	12.16542983	16.45137528	13.03103232
24.02.1993	07:30	12.22296055	15.64202308	12.38994946
25.02.1993	07:30	12.97974187	14.19473124	11.24355857
26.02.1993	07:30	9.314814242	13.28299872	10.52138089
27.02.1993	07:30	9.714583165	14.04074237	11.12158494
28.02.1993	07:30	9.136281738	13.64690826	10.80963139
01.03.1993	07:30	12.49748868	14.26600076	11.30001072
