#sunh.dat sunshine hours				
@dataValueAttribs				
sunh	0	24	h	
@dataSetAttribs				
missingDataVal	-9999			
dataStart	01.02.1993 07:30			
dataEnd	31.12.1999 07:30			
tres	d			
@statAttribVal				
name	Messina 	Warmbad 		
ID	0809706X	05895941		
elevation	525	1143.00		
x	180512.77288	28031.37226		
y	7534009.70	7238014.66		
dataColumn	1	2		
@dataVal				
01.02.1993	07:30	6.9	10.60	
02.02.1993	07:30	10.3	9.20	
03.02.1993	07:30	10.7	10.50	
04.02.1993	07:30	12.1	9.70	
05.02.1993	07:30	11.4	9.70	
06.02.1993	07:30	9.9	12.00	
07.02.1993	07:30	8.4	11.10	
08.02.1993	07:30	0.4	2.40	
09.02.1993	07:30	3.6	0.60	
10.02.1993	07:30	6.1	8.60	
11.02.1993	07:30	8.5	10.90	
12.02.1993	07:30	11.4	10.70	
13.02.1993	07:30	11.4	9.50	
14.02.1993	07:30	10.7	6.10	
15.02.1993	07:30	11.3	6.30	
16.02.1993	07:30	11.2	2.20	
17.02.1993	07:30	8.5	0.00	
18.02.1993	07:30	11.9	2.60	
19.02.1993	07:30	9.3	10.30	
20.02.1993	07:30	2.4	12.00	
21.02.1993	07:30	1.1	11.10	
22.02.1993	07:30	7.9	10.10	
23.02.1993	07:30	1.6	5.50	
24.02.1993	07:30	9.2	6.10	
25.02.1993	07:30	11.4	10.70	
26.02.1993	07:30	11.5	11.20	
27.02.1993	07:30	10	11.10	
28.02.1993	07:30	10.7	10.40	
01.03.1993	07:30	3.5	0.80	
02.03.1993	07:30	9.7	1.80	
03.03.1993	07:30	7.8	6.70	
04.03.1993	07:30	8.1	3.00	
05.03.1993	07:30	5.3	10.30	
06.03.1993	07:30	10.6	10.70	
07.03.1993	07:30	10.1	11.40	
08.03.1993	07:30	10.9	11.40	
09.03.1993	07:30	11.2	10.80	
10.03.1993	07:30	9.2	10.80	
11.03.1993	07:30	10.4	11.30	
12.03.1993	07:30	8.6	10.10	
13.03.1993	07:30	2.6	7.10	
14.03.1993	07:30	9.2	4.30	
15.03.1993	07:30	11.1	10.40	
16.03.1993	07:30	1.9	4.20	
