#Tmean.dat Mean Temperature									
@dataValueAttribs									
tmean	-273	9999	degC						
@dataSetAttribs									
missingDataVal	-9999								
dataStart	01.02.1993 07:30								
dataEnd	31.12.1999 07:30								
tres	d								
@statAttribVal									
name	B81A	B81B	B81C	B81D	B81E	B81F	B81G	B81H	B81J
ID	001	002	003	004	005	006	007	008	009
elevation	1487	855	646	713	517	455	576	466	348
x	189585.4633	7362543.978	216871.533	216249.2084	7367788.643	258795.2029	234454.9616	266808.9107	293767.03987
y	7354361.291	7362543.978	7359516.191	7346141.752	7367788.643	7378404.071	7398900.312	7397129.186	7380812.11
dataColumn	1	2	3	4	5	6	7	8	9
@dataVal									
01.02.1993	07:30	14.05	17.35	19.65	21.65	24.35	26.5	23.65	24.6	24.8
02.02.1993	07:30	17.8	21.7	23.8	23.15	23.4	25.95	22.8	24.85	25.55
03.02.1993	07:30	19.85	23.45	25.55	25.9	26.15	28.15	25.75	27.2	27.85
04.02.1993	07:30	19.3	22.7	24.8	25.4	25.75	26.8	25.25	26.9	26.6
05.02.1993	07:30	17.3	21.4	23.55	24.35	23.1	24.1	23.3	24.15	25.15
06.02.1993	07:30	18.45	22.2	24.3	24.3	24.4	25.45	24.55	25.7	26.65
07.02.1993	07:30	19.3	22.95	25.05	25.15	25.45	26.6	25.35	26.45	27.65
08.02.1993	07:30	18	21.45	23.6	24.3	24.6	26.4	25.05	26	27.1
09.02.1993	07:30	17.65	21.45	23.6	24.65	24.45	26	24.25	25.4	26.1
10.02.1993	07:30	17.15	21.4	23.55	23.9	24.2	25.8	24.15	25.5	26.4
11.02.1993	07:30	18.55	22.45	24.6	25.4	24.8	26.85	24.85	26.2	26.1
12.02.1993	07:30	19	22.95	25.05	25.15	25.5	26.95	25.05	26.05	27.15
13.02.1993	07:30	19.1	22.65	24.85	25.6	25.3	27	25.15	26.35	26.8
14.02.1993	07:30	18.15	22.15	24.35	25.4	25.05	27.2	25.4	27.1	27.65
15.02.1993	07:30	21.1	24.5	26.6	27.85	27.2	25.65	24.1	25.95	27.5
