# Calculated absolute humidity [g / cm3]
@dataValueAttribs
ahum	0.0	100.0	g/cm3
@dataSetAttribs
missingDataVal	-9999
dataStart	19.02.2004 13:00
dataEnd	04.10.2004 20:00
tres	h
@statAttribVal
name	Observatorium
ID	111
elevation	461.5
x	4472847.0
y	5612205.0
dataColumn	1
@dataVal
Date	Time	1
19.02.2004	13:00	4.14	
19.02.2004	14:00	4.19	
19.02.2004	15:00	4.18	
19.02.2004	16:00	4.13	
19.02.2004	17:00	4.03	
19.02.2004	18:00	4.03	
19.02.2004	19:00	4.07	
19.02.2004	20:00	4.07	
19.02.2004	21:00	4.04	
19.02.2004	22:00	3.97	
19.02.2004	23:00	3.92	
20.02.2004	00:00	3.79	
20.02.2004	01:00	3.74	
20.02.2004	02:00	3.51	
20.02.2004	03:00	3.21	
20.02.2004	04:00	3.07	
20.02.2004	05:00	3.03	
20.02.2004	06:00	2.96	
20.02.2004	07:00	3.05	
20.02.2004	08:00	3.33	
20.02.2004	09:00	3.65	
20.02.2004	10:00	4.0	
20.02.2004	11:00	4.44	
20.02.2004	12:00	4.44	
20.02.2004	13:00	4.59	
20.02.2004	14:00	4.44	
20.02.2004	15:00	4.47	
20.02.2004	16:00	4.13	
20.02.2004	17:00	3.99	
20.02.2004	18:00	3.77	
20.02.2004	19:00	3.58	
20.02.2004	20:00	3.43	
20.02.2004	21:00	3.49	
20.02.2004	22:00	3.56	
20.02.2004	23:00	3.58	
21.02.2004	00:00	3.62	
21.02.2004	01:00	3.67	
21.02.2004	02:00	3.66	
21.02.2004	03:00	3.64	
21.02.2004	04:00	3.6	
21.02.2004	05:00	3.59	
21.02.2004	06:00	3.58	
21.02.2004	07:00	3.56	
21.02.2004	08:00	3.36	
21.02.2004	09:00	3.38	
21.02.2004	10:00	3.43	
21.02.2004	11:00	3.58	
21.02.2004	12:00	3.52	
21.02.2004	13:00	3.54	
21.02.2004	14:00	3.54	
21.02.2004	15:00	3.75	
21.02.2004	16:00	4.02	
21.02.2004	17:00	3.88	
21.02.2004	18:00	3.73	
21.02.2004	19:00	3.76	
21.02.2004	20:00	3.87	
