# reach.par test example						
ID	to-reach	length	slope	sinuosity	rough	width
0	0	0	0	0	0	0
999999	999999	99999	90	9999	9999	9999
n/a	n/a	m	%	n/a	n/a	m
512	508	2175	2.488131043	1.15	30	23
514	512	13583	9.005868629	1.26	30	15
516	512	5038	4.124804624	1.19	30	15
518	516	306	2.281890336	1.11	30	5
520	518	4843	11.10900545	1.12	30	3
522	518	4365	8.537334676	1.22	30	3
524	516	11180	9.394147542	1.24	30	15
526	506	2904	0.661140353	1.15	30	36
528	526	5914	1.682307013	1.27	30	36
530	528	1058	1.979811049	1.08	30	36
531	530	1046	2.271412933	1.18	30	12
532	531	4324	2.271412933	1.18	30	12
534	532	347	35.03596151	1.47	30	2
536	532	4278	2.570912588	1.14	30	12
538	536	312	10.10332176	1.07	30	2
540	536	933	2.245219642	1.07	30	12
542	540	1499	11.81418921	1.15	30	2
544	540	872	4.406139222	1.08	30	12
546	544	3011	3.885660452	1.12	30	12
548	546	8762	9.872050227	1.29	30	12
550	546	272	18.16244268	1.03	30	2
552	544	522	13.79503618	1.08	30	2
554	530	4176	3.051957112	1.2	30	18
556	554	110	16.00111532	1.07	30	3
557	554	340	2.998675847	1.15	30	18
558	557	2469	2.998675847	1.15	30	18
560	558	10231	7.931989798	1.17	30	18
562	558	1380	9.258940285	1.25	30	3
564	528	5058	2.830283153	1.29	30	25
566	564	3166	4.910235622	1.1	30	20
568	566	2443	10.54077577	1.08	30	5
570	566	7346	6.638486622	1.12	30	20
572	570	4216	15.69248532	1.34	30	5
574	570	2225	16.54287869	1.14	30	20
576	564	6343	4.708708548	1.27	30	20
578	576	1450	3.251122331	1.3	30	20
580	578	789	12.45140468	1.08	30	3
582	578	6598	8.858091306	1.41	30	20
584	582	196	47.71940762	1.08	30	3
586	582	2088	17.30535427	1.06	30	20
588	576	1589	12.92224884	1.08	30	3
590	526	4876	2.721116021	1.11	30	5
592	504	11979	4.344586019	1.31	30	10
594	592	1004	6.440946714	1.12	30	10
596	592	2379	5.949501899	1.13	30	3
598	502	2932	3.751948032	1.24	30	5
600	500	3221	1.517331147	1.3	30	5
602	600	3626	2.118273791	1.37	30	5
604	602	9854	5.318486558	1.27	30	5
606	602	4146	4.42310191	1.28	30	5
608	606	845	5.58263933	1.08	30	2
610	606	4220	5.506309042	1.11	30	5
612	600	3824	3.333066992	1.2	30	2
614	498	7466	4.374313005	1.39	30	5
615	488	1913	1.528678419	1.23	30	11
616	615	3814	1.528678419	1.23	30	11
618	616	4784	1.824420514	1.11	30	6
620	618	3120	2.238060197	1.33	30	3
622	618	7555	3.744257795	1.09	30	6
624	622	3892	9.671535127	1.09	30	3
626	622	976	7.524829944	1.1	30	6
628	626	160	27.96754209	1.05	30	3
630	626	1107	12.84063151	1.11	30	6
631	616	2303	1.467229042	1.07	30	6
632	631	681	1.467229042	1.07	30	6
634	632	7576	3.295501194	1.22	30	6
636	634	106	1.646692431	1	30	3
638	634	4307	9.183957011	1.11	30	6
640	632	3958	3.661590521	2.12	30	3
642	486	1	0.328646681	1	30	76
644	642	4772	1.64599411	1.18	30	10
646	642	100	0.648747984	1	30	5
648	412	1086	0.648747984	1.08	30	45
650	648	3780	0.648747984	1.08	30	45
652	650	146	0.648747984	1.08	30	45
654	652	1556	3.029421548	1.12	30	5
656	654	156	3.357703676	1.07	30	3
658	654	2527	4.8385071	1.32	30	3
660	652	2152	0.648747984	1.13	30	45
662	660	801	0.217817435	1.06	30	45
664	662	2208	2.371823465	1.22	30	5
666	662	322	0.421674047	1.06	30	45
668	666	1953	0.625534163	1.11	30	45
670	668	7967	0.438080445	1.74	30	45
672	670	3840	0.136310299	1.08	30	45
674	672	2752	2.220074373	1.31	30	10
676	674	466	5.248303487	1.07	30	2
678	674	6359	5.494755017	1.29	30	10
680	672	1007	0.346623778	1.47	30	45
682	680	4661	0.636530175	1.88	30	45
684	682	539	3.887583214	1.06	30	5
