# C:\temp\workspace\data\ahum.dat - calculated absolute humidity				
@dataValueAttribs				
ahum	0	100	g/cm3	
@dataSetAttribs				
missingDataVal	-9999			
dataStart	01.01.1979 07:30			
dataEnd	31.12.2000 07:30			
tres	d			
@statAttribVal				
name	Artern	Erfurt	Schmücke	
ID	198	1270	4501	
elevation	164	316	937	
x	4451274	4427446	4412785	
y	5694380	5650160	5613300	
dataColumn	1	2	3	
@dataVal				
01.01.79	07:30	5.92	5.9	4.85
02.01.79	07:30	6.74	6.52	5.25
03.01.79	07:30	4.51	4.68	3.4
04.01.79	07:30	4.4	4.14	3.67
05.01.79	07:30	5.39	5.05	4.27
06.01.79	07:30	5.11	5.01	4.34
07.01.79	07:30	5.16	5.04	4.27
08.01.79	07:30	6.91	6.27	5.28
09.01.79	07:30	7.32	7.09	5.79
10.01.79	07:30	6.73	5.98	5.26
11.01.79	07:30	5.26	5.39	4.49
12.01.79	07:30	4.87	5.09	4.58
13.01.79	07:30	5.12	4.98	4.78
14.01.79	07:30	5.27	5.25	4.9
15.01.79	07:30	5	4.96	4.66
16.01.79	07:30	5.79	5.7	4.78
17.01.79	07:30	5.04	4.85	4.4
18.01.79	07:30	4.74	4.77	4.14
19.01.79	07:30	4.28	4.41	3.85
20.01.79	07:30	3.78	4.06	2.97
21.01.79	07:30	4.18	4.27	3.71
22.01.79	07:30	5.23	4.93	4.41
23.01.79	07:30	4.58	4.71	4.06
24.01.79	07:30	3.97	3.84	3.5
25.01.79	07:30	3.68	3.7	2.23
26.01.79	07:30	3.8	3.44	2.63
27.01.79	07:30	3.89	3.31	2.65
28.01.79	07:30	3.62	3.35	2.48
29.01.79	07:30	3.67	3.3	4.32
30.01.79	07:30	4.78	4.77	4.09
31.01.79	07:30	5.38	5.01	5.07
01.02.79	07:30	5	4.48	5.61
02.02.79	07:30	4.22	4.13	3.41
03.02.79	07:30	4.26	3.91	3.11
04.02.79	07:30	3.91	3.44	2.48
05.02.79	07:30	4.43	3.83	3.33
06.02.79	07:30	5.7	5.6	4.63
07.02.79	07:30	6.24	5.58	5.21
08.02.79	07:30	5.26	5.27	5.66
