#obsRunoff.dat observed Runoff at Gehlberg			
@dataValueAttribs			
obsRunoff	0	2000	m³/s
@dataSetAttribs			
missingDataVal	-9999		
dataStart	01.01.1979 07:30		
dataEnd	31.12.2000 07:30		
tres	d		
@statAttribVal			
name	Gehlberg		
ID	574300		
elevation	565.25		
x	4414010		
y	5617220		
dataColumn	1		
@dataVal			
01.01.79	07:30	1.03	
02.01.79	07:30	1.03	
03.01.79	07:30	0.81	
04.01.79	07:30	0.91	
05.01.79	07:30	1.6	
06.01.79	07:30	1.16	
07.01.79	07:30	0.91	
08.01.79	07:30	0.76	
09.01.79	07:30	0.68	
10.01.79	07:30	0.65	
11.01.79	07:30	0.76	
12.01.79	07:30	1.09	
13.01.79	07:30	1.09	
14.01.79	07:30	0.97	
15.01.79	07:30	0.81	
16.01.79	07:30	0.68	
17.01.79	07:30	0.65	
18.01.79	07:30	0.59	
19.01.79	07:30	0.97	
20.01.79	07:30	1.24	
21.01.79	07:30	0.97	
22.01.79	07:30	0.81	
23.01.79	07:30	0.91	
24.01.79	07:30	2.1	
25.01.79	07:30	2.32	
26.01.79	07:30	1.88	
27.01.79	07:30	1.51	
28.01.79	07:30	1.33	
29.01.79	07:30	1.16	
30.01.79	07:30	1.03	
31.01.79	07:30	0.97	
01.02.79	07:30	0.86	
02.02.79	07:30	0.81	
03.02.79	07:30	0.76	
04.02.79	07:30	0.68	
05.02.79	07:30	0.62	
06.02.79	07:30	0.59	
07.02.79	07:30	0.53	
08.02.79	07:30	0.56	
09.02.79	07:30	0.68	
10.02.79	07:30	0.76	
11.02.79	07:30	0.86	
12.02.79	07:30	0.86	
13.02.79	07:30	0.81	
14.02.79	07:30	0.72	
15.02.79	07:30	0.68	
16.02.79	07:30	0.65	
17.02.79	07:30	0.62	
18.02.79	07:30	0.53	
19.02.79	07:30	0.51	
20.02.79	07:30	0.46	
21.02.79	07:30	0.44	
22.02.79	07:30	0.42	
23.02.79	07:30	0.4	
24.02.79	07:30	0.4	
25.02.79	07:30	0.34	
26.02.79	07:30	0.32	
27.02.79	07:30	0.3	
28.02.79	07:30	0.3	
01.03.79	07:30	0.29	
