#Tmax.dat Max Temperatur				
@dataValueAttribs				
tmax	-273	9999	degC	
@dataSetAttribs				
missingDataVal	-9999			
dataStart	01.01.1979 07:30			
dataEnd	31.12.2000 07:30			
tres	d			
@statAttribVal				
name	Artern	Erfurt	Schmücke	
ID	198	1270	4501	
elevation	164	316	937	
x	4451274	4427446	4412785	
y	5694380	5650160	5613300	
dataColumn	1	2	3	
@dataVal				
01.01.79	07:30	7.2	6.2	2.3
02.01.79	07:30	7.3	6.4	2.3
03.01.79	07:30	5.4	4	2
04.01.79	07:30	4.1	5	-2
05.01.79	07:30	5.6	5.2	-1
06.01.79	07:30	3.2	2.6	-0.2
07.01.79	07:30	4.6	3.6	-0.7
08.01.79	07:30	9.8	9	3.2
09.01.79	07:30	9.9	11.8	4
10.01.79	07:30	7.6	7.7	2.2
11.01.79	07:30	7.2	7.1	2
12.01.79	07:30	7.4	6.3	0.3
13.01.79	07:30	8	7.8	2.1
14.01.79	07:30	9.3	8.6	2.2
15.01.79	07:30	6.8	6.9	1.1
16.01.79	07:30	7.1	6.6	0.3
17.01.79	07:30	7	5.6	0.1
18.01.79	07:30	5.6	4.8	-1
19.01.79	07:30	2.7	5.6	2.7
20.01.79	07:30	0.7	1.4	4.9
21.01.79	07:30	5	5.6	-1.9
22.01.79	07:30	7.1	6.3	-0.1
23.01.79	07:30	5.6	5.2	0
24.01.79	07:30	2.7	2.2	2.8
25.01.79	07:30	-0.1	-0.2	1.5
26.01.79	07:30	3.5	3.6	7.8
27.01.79	07:30	4.7	4.2	7.9
28.01.79	07:30	5.1	3	4.8
29.01.79	07:30	1.3	0.3	3.5
30.01.79	07:30	4	4.8	-0.5
31.01.79	07:30	4.6	4.6	7.6
01.02.79	07:30	3	2.1	6.9
02.02.79	07:30	0.8	1	6.5
03.02.79	07:30	2.9	3.3	3.7
04.02.79	07:30	4.1	3.3	2.5
05.02.79	07:30	4	3.3	-2.7
06.02.79	07:30	8.3	8.2	1.5
07.02.79	07:30	10.1	8.4	1.6
08.02.79	07:30	6.1	8	9.1
09.02.79	07:30	1.4	1.8	11.1
10.02.79	07:30	6.2	6.4	3.7
