#Tmin.dat Max Temperatur				
@dataValueAttribs				
tmin	-273	9999	degC	
@dataSetAttribs				
missingDataVal	-9999			
dataStart	01.01.1979 07:30			
dataEnd	31.12.2000 07:30			
tres	d			
@statAttribVal				
name	Artern	Erfurt	Schmücke	
ID	198	1270	4501	
elevation	164	316	937	
x	4451274	4427446	4412785	
y	5694380	5650160	5613300	
dataColumn	1	2	3	
@dataVal				
01.01.79	07:30	0.2	1.4	-1.7
02.01.79	07:30	5	3.9	0.3
03.01.79	07:30	-6	-2.3	-3.5
04.01.79	07:30	-2.2	-2	-5.6
05.01.79	07:30	2.3	1.5	-2.6
06.01.79	07:30	1.1	0.5	-3
07.01.79	07:30	1.3	0.6	-2.9
08.01.79	07:30	4.6	2.8	-0.7
09.01.79	07:30	7	5.2	1.2
10.01.79	07:30	6	3	0.2
11.01.79	07:30	0.7	0.8	-3.3
12.01.79	07:30	-1.8	-0.1	-1.9
13.01.79	07:30	3.4	1.5	-1.6
14.01.79	07:30	2.1	0.7	-1.6
15.01.79	07:30	2.6	0.7	-2.2
16.01.79	07:30	5.6	3.7	-0.7
17.01.79	07:30	3.9	2.9	-2.6
18.01.79	07:30	1.8	0.9	-3.2
19.01.79	07:30	-1.6	-3.6	-4.3
20.01.79	07:30	-5.1	-5	-5.2
21.01.79	07:30	-2.8	-3.5	-5.7
22.01.79	07:30	2.5	0	-2.3
23.01.79	07:30	-0.7	-0.2	-4.5
24.01.79	07:30	-0.5	-2.8	-5.7
25.01.79	07:30	-5.1	-5.4	-5.6
26.01.79	07:30	-7.1	-6.7	-6.6
27.01.79	07:30	-5.3	-6.5	1.3
28.01.79	07:30	-6	-6.8	0.3
29.01.79	07:30	-4.6	-7.3	-1.8
30.01.79	07:30	0	-1.2	-4.1
31.01.79	07:30	1.9	-1.2	-3.5
01.02.79	07:30	-0.9	-3.5	-0.5
02.02.79	07:30	-1.1	-2.6	-5.5
03.02.79	07:30	-2.9	-5.5	-3.2
04.02.79	07:30	-4.6	-6.4	-7.1
05.02.79	07:30	-1.2	-3.3	-7.6
06.02.79	07:30	2	1.2	-2.8
