#wind.dat wind speed				
@dataValueAttribs				
windSpeed	0	2000	m/s	
@dataSetAttribs				
missingDataVal	-9999			
dataStart	01.01.1979 07:30			
dataEnd	31.12.2000 07:30			
tres	d			
@statAttribVal				
name	Artern	Erfurt	Schmücke	
ID	198	1270	4501	
elevation	164	316	937	
x	4451274	4427446	4412785	
y	5694380	5650160	5613300	
dataColumn	1	2	3	
@dataVal				
01.01.79	07:30	0.7	1.2	1.8
02.01.79	07:30	0.53	0.79	2.76
03.01.79	07:30	0.53	1.09	3.86
04.01.79	07:30	2.76	2.47	6.21
05.01.79	07:30	2.76	2.76	4.72
06.01.79	07:30	1.09	1.43	4.37
07.01.79	07:30	2.47	2.06	2.91
08.01.79	07:30	3.22	2.91	4.72
09.01.79	07:30	2.62	1.67	4.72
10.01.79	07:30	3.06	3.37	5.08
11.01.79	07:30	1.31	1.93	3.53
12.01.79	07:30	1.43	3.37	5.64
13.01.79	07:30	3.7	3.37	5.08
14.01.79	07:30	4.03	3.22	5.26
15.01.79	07:30	4.72	3.22	4.9
16.01.79	07:30	3.22	2.19	4.37
17.01.79	07:30	3.53	2.47	5.26
18.01.79	07:30	2.19	1.67	2.33
19.01.79	07:30	0.7	1.31	1.55
20.01.79	07:30	0.38	1.31	2.91
21.01.79	07:30	2.19	2.76	5.45
22.01.79	07:30	1.43	1.55	2.76
23.01.79	07:30	1.31	1.55	2.33
24.01.79	07:30	0.53	0.53	1.2
25.01.79	07:30	0.89	0.89	2.62
26.01.79	07:30	0.7	1.2	1.09
27.01.79	07:30	0.89	1.67	1.31
28.01.79	07:30	2.06	2.06	2.47
29.01.79	07:30	1.67	1.8	1.8
30.01.79	07:30	2.91	1.55	2.06
31.01.79	07:30	2.06	1.09	1.31
01.02.79	07:30	1.09	0.79	2.47
02.02.79	07:30	1.2	1.09	2.91
03.02.79	07:30	1.67	1.2	2.47
04.02.79	07:30	1.67	1.93	3.86
05.02.79	07:30	4.03	4.37	5.64
06.02.79	07:30	5.26	2.91	5.64
07.02.79	07:30	3.22	2.19	5.83
08.02.79	07:30	0.15	0.99	1.43
