#abc annual data set from leaf river
@{time_format='dd.mm.yyyy hh:mm'}			

time	precip	runoff	
===================================			
01.11.1989 07:30	25.67	2.79
02.11.1989 07:30	5.73	5.05
03.11.1989 07:30	2.01	4.79
04.11.1989 07:30	5.64	4.32
05.11.1989 07:30	1.12	3.92
06.11.1989 07:30	22.24	3.72
07.11.1989 07:30	2.40	4.12
08.11.1989 07:30	1.16	4.12
09.11.1989 07:30	0.00	4.12
10.11.1989 07:30	0.00	3.92
11.11.1989 07:30	0.00	3.19
12.11.1989 07:30	0.00	2.92
13.11.1989 07:30	0.00	2.66
14.11.1989 07:30	0.00	2.39
15.11.1989 07:30	0.16	2.26
16.11.1989 07:30	0.00	2.13
17.11.1989 07:30	0.00	1.93
18.11.1989 07:30	0.00	1.79
19.11.1989 07:30	0.00	1.66
20.11.1989 07:30	0.03	1.60
21.11.1989 07:30	1.60	1.60
22.11.1989 07:30	7.00	1.60
23.11.1989 07:30	3.82	1.46
24.11.1989 07:30	5.82	1.40
25.11.1989 07:30	0.83	1.40
26.11.1989 07:30	3.75	1.26
27.11.1989 07:30	7.61	1.20
28.11.1989 07:30	0.04	1.06
29.11.1989 07:30	0.00	1.06
30.11.1989 07:30	0.00	1.00
01.12.1989 07:30	0.00	1.00
02.12.1989 07:30	0.00	1.00
03.12.1989 07:30	0.00	1.00
04.12.1989 07:30	0.66	0.93
05.12.1989 07:30	0.06	0.93
06.12.1989 07:30	2.14	0.93
07.12.1989 07:30	1.26	0.93
08.12.1989 07:30	0.97	0.93
09.12.1989 07:30	2.62	0.80
10.12.1989 07:30	0.00	0.80
11.12.1989 07:30	1.22	0.80
12.12.1989 07:30	6.55	0.73
13.12.1989 07:30	12.19	0.93
14.12.1989 07:30	31.55	1.26
15.12.1989 07:30	31.18	5.72
16.12.1989 07:30	13.30	11.83
17.12.1989 07:30	3.86	11.83
18.12.1989 07:30	8.85	8.84
19.12.1989 07:30	8.01	7.24
20.12.1989 07:30	25.28	8.84
